Tanggal,Terakhir
25/02/2020,5787.14
24/02/2020,5807.05
21/02/2020,5882.25
20/02/2020,5942.49
19/02/2020,5928.79
18/02/2020,5886.96
17/02/2020,5867.52
14/02/2020,5866.94
13/02/2020,5871.95
12/2/2020,5913.08
11/2/2020,5954.40
10/2/2020,5952.08
7/2/2020,5999.61
6/2/2020,5987.15
5/2/2020,5978.51
4/2/2020,5922.34
3/2/2020,5884.17
31/01/2020,5940.05
30/01/2020,6057.60
29/01/2020,6113.04
28/01/2020,6111.18
27/01/2020,6133.21
24/01/2020,6244.11
23/01/2020,6249.21
22/01/2020,6233.45
21/01/2020,6238.15
20/01/2020,6245.04
17/01/2020,6291.66
16/01/2020,6286.05
15/01/2020,6283.37
14/01/2020,6325.41
13/01/2020,6296.57
10/1/2020,6274.94
9/1/2020,6274.49
8/1/2020,6225.69
7/1/2020,6279.35
6/1/2020,6257.40
3/1/2020,6323.47
2/1/2020,6283.58
30/12/2019,6299.54
27/12/2019,6329.31
26/12/2019,6319.44
23/12/2019,6305.91
20/12/2019,6284.37
19/12/2019,6249.93
18/12/2019,6287.25
17/12/2019,6244.35
16/12/2019,6211.59
13/12/2019,6197.32
12/12/2019,6139.40
11/12/2019,6180.10
10/12/2019,6183.50
9/12/2019,6193.79
6/12/2019,6186.87
5/12/2019,6152.12
4/12/2019,6112.88
3/12/2019,6133.90
2/12/2019,6130.06
29/11/2019,6011.83
28/11/2019,5953.06
27/11/2019,6023.04
26/11/2019,6026.19
25/11/2019,6070.76
22/11/2019,6100.24
21/11/2019,6117.36
20/11/2019,6155.11
19/11/2019,6152.09
18/11/2019,6122.63
15/11/2019,6128.35
14/11/2019,6098.95
13/11/2019,6142.50
12/11/2019,6180.99
11/11/2019,6148.74
8/11/2019,6177.99
7/11/2019,6165.62
6/11/2019,6217.54
5/11/2019,6264.15
4/11/2019,6180.34
1/11/2019,6207.19
31/10/2019,6228.32
30/10/2019,6295.75
29/10/2019,6281.14
28/10/2019,6265.38
25/10/2019,6252.35
24/10/2019,6339.65
23/10/2019,6257.81
22/10/2019,6225.50
21/10/2019,6198.99
18/10/2019,6191.95
17/10/2019,6181.01
16/10/2019,6169.59
15/10/2019,6158.17
14/10/2019,6126.88
11/10/2019,6105.80
10/10/2019,6023.64
9/10/2019,6029.16
8/10/2019,6039.60
7/10/2019,6000.58
4/10/2019,6061.25
3/10/2019,6038.53
2/10/2019,6055.42
1/10/2019,6138.25
30/09/2019,6169.10
27/09/2019,6196.89
26/09/2019,6230.33
25/09/2019,6146.40
24/09/2019,6137.61
23/09/2019,6206.20
20/09/2019,6231.47
19/09/2019,6244.47
18/09/2019,6276.63
17/09/2019,6236.69
16/09/2019,6219.44
13/09/2019,6334.84
12/9/2019,6342.17
11/9/2019,6381.95
10/9/2019,6336.67
9/9/2019,6326.21
6/9/2019,6308.95
5/9/2019,6306.80
4/9/2019,6269.66
3/9/2019,6261.59
2/9/2019,6290.55
30/08/2019,6328.47
29/08/2019,6289.12
28/08/2019,6281.65
27/08/2019,6278.17
26/08/2019,6214.51
23/08/2019,6255.60
22/08/2019,6239.25
21/08/2019,6252.97
20/08/2019,6295.74
19/08/2019,6296.71
16/08/2019,6286.66
15/08/2019,6257.59
14/08/2019,6267.33
13/08/2019,6210.96
12/8/2019,6250.60
9/8/2019,6282.13
8/8/2019,6274.67
7/8/2019,6204.19
6/8/2019,6119.47
5/8/2019,6175.70
2/8/2019,6340.18
1/8/2019,6381.54
31/07/2019,6390.50
30/07/2019,6377.00
29/07/2019,6299.04
26/07/2019,6325.24
25/07/2019,6401.37
24/07/2019,6384.99
23/07/2019,6403.81
22/07/2019,6433.55
19/07/2019,6456.54
18/07/2019,6403.29
17/07/2019,6394.61
16/07/2019,6401.88
15/07/2019,6418.23
12/7/2019,6373.35
11/7/2019,6417.07
10/7/2019,6410.68
9/7/2019,6388.32
8/7/2019,6351.83
5/7/2019,6373.48
4/7/2019,6375.97
3/7/2019,6362.62
2/7/2019,6384.90
1/7/2019,6379.69
28/06/2019,6358.63
27/06/2019,6352.71
26/06/2019,6310.49
25/06/2019,6320.44
24/06/2019,6288.46
21/06/2019,6315.44
20/06/2019,6335.70
19/06/2019,6339.26
18/06/2019,6257.33
17/06/2019,6190.52
14/06/2019,6250.27
13/06/2019,6273.08
12/6/2019,6276.18
11/6/2019,6305.99
10/6/2019,6289.61
31/05/2019,6209.12
29/05/2019,6104.11
28/05/2019,6033.14
27/05/2019,6098.97
24/05/2019,6057.35
23/05/2019,6032.70
22/05/2019,5939.64
21/05/2019,5951.37
20/05/2019,5907.12
17/05/2019,5826.87
16/05/2019,5895.74
15/05/2019,5980.88
14/05/2019,6071.20
13/05/2019,6135.40
10/5/2019,6209.12
9/5/2019,6198.80
8/5/2019,6270.20
7/5/2019,6297.32
6/5/2019,6256.35
3/5/2019,6319.46
2/5/2019,6374.42
30/04/2019,6455.35
29/04/2019,6425.90
26/04/2019,6401.08
25/04/2019,6372.79
24/04/2019,6447.88
23/04/2019,6462.82
22/04/2019,6414.74
18/04/2019,6507.22
16/04/2019,6481.54
15/04/2019,6435.15
12/4/2019,6405.87
11/4/2019,6410.17
10/4/2019,6478.33
9/4/2019,6484.35
8/4/2019,6425.73
5/4/2019,6474.02
4/4/2019,6494.63
2/4/2019,6476.07
1/4/2019,6452.61
29/03/2019,6468.75
28/03/2019,6480.79
27/03/2019,6444.74
26/03/2019,6470.00
25/03/2019,6411.25
22/03/2019,6525.27
21/03/2019,6501.78
20/03/2019,6482.71
19/03/2019,6480.28
18/03/2019,6509.45
15/03/2019,6461.18
14/03/2019,6413.27
13/03/2019,6377.58
12/3/2019,6353.77
11/3/2019,6366.43
8/3/2019,6383.07
6/3/2019,6457.96
5/3/2019,6441.28
4/3/2019,6488.42
1/3/2019,6499.88
28/02/2019,6443.35
27/02/2019,6525.68
26/02/2019,6540.95
25/02/2019,6525.36
22/02/2019,6501.38
21/02/2019,6537.77
20/02/2019,6512.78
19/02/2019,6494.67
18/02/2019,6497.81
15/02/2019,6389.08
14/02/2019,6420.02
13/02/2019,6419.12
12/2/2019,6426.33
11/2/2019,6495.00
8/2/2019,6521.66
7/2/2019,6536.46
6/2/2019,6547.88
4/2/2019,6481.45
1/2/2019,6538.64
31/01/2019,6532.97
30/01/2019,6464.19
29/01/2019,6436.48
28/01/2019,6458.71
25/01/2019,6482.84
24/01/2019,6466.65
23/01/2019,6451.17
22/01/2019,6468.56
21/01/2019,6450.83
18/01/2019,6448.16
17/01/2019,6423.78
16/01/2019,6413.36
15/01/2019,6408.78
14/01/2019,6336.12
11/1/2019,6361.46
10/1/2019,6328.71
9/1/2019,6272.24
8/1/2019,6262.85
7/1/2019,6287.22
4/1/2019,6274.54
3/1/2019,6221.01
2/1/2019,6181.17
